"Team","Pace","Purified.Pace"
"Atlanta Hawks",106.018916380174,110.784940889836
"New Orleans Pelicans",105.189236079153,108.85307822091
"Sacramento Kings",104.925743212149,108.076578209236
"Los Angeles Lakers",104.868320294524,108.015345838404
"Milwaukee Bucks",104.449032725419,107.960710974992
"Oklahoma City Thunder",104.633642189966,107.705402405613
"Los Angeles Clippers",103.570523156089,105.38393024373
"Philadelphia 76ers",103.222087515054,105.005525138718
"Washington Wizards",103.155684414712,104.961240767535
"Brooklyn Nets",103.052180532097,104.426178842334
"Phoenix Suns",102.516943440054,103.020532685848
"Golden State Warriors",102.148998548621,102.798303346181
"Minnesota Timberwolves",102.310658076392,102.738306903972
"Utah Jazz",102.03044040114,102.533491419718
"Boston Celtics",101.473186813187,101.223689518155
"New York Knicks",101.408672739102,101.044492021922
"Dallas Mavericks",100.822682926829,99.7325425178418
"Toronto Raptors",100.908915186408,99.6847975362311
"Portland Trail Blazers",100.717247041953,99.6150931590188
"Chicago Bulls",100.565214521945,99.3753657617624
"Charlotte Hornets",100.554341685577,99.3253478582916
"Miami Heat",100.016079153244,98.2618308364959
"Orlando Magic",99.6333289958794,97.6490523009399
"Indiana Pacers",99.7112198332602,97.6324536085988
"San Antonio Spurs",99.4579952190536,97.4154924110724
"Houston Rockets",99.7406248731995,97.3284424529569
"Detroit Pistons",99.2351206669592,96.5266226394704
"Denver Nuggets",98.916106409545,96.2135193588997
"Cleveland Cavaliers",98.2797212543554,94.7575164570425
"Memphis Grizzlies",98.0807996254979,93.9664167301484
